gene_id	score
PRDM11	6.132519019571e-05
SYT13	1.33484100498312000e-03
SNAI2	-3.5094947037365000e-03
CD74	1.08083859128865000e-03
HGF	-8.282001089428440000e-04
ZRANB1	-1.864540436983410000e-04
NCDN	8.158847735795530000e-04
ADGRA2	-1.93048720332994000e-03
ZFP64	5.594136428784120000e-04
MNAT1	3.269341327579660000e-04
SAMD4A	-1.19398416565448000e-03
MRE11	7.090182899610650000e-04
PLEKHB1	-2.40863147233974e-05
SERPINB1	-3.78239607265447e-05
SPAST	2.772067398728130000e-04
NRXN3	-5.72865497683290000e-04
OSBPL5	-6.93672098572732e-05
AQR	8.572105898968940000e-04
CPS1	-8.788039977263730000e-04
FHL1	4.7620973433858e-05
RTF2	-3.377111862410010000e-04
NLRP2	8.946494489053190000e-04
SLC45A4	7.340942640589960000e-04
RNF10	-1.827863770628920000e-04
ZNF839	-2.756474959543730000e-04
ZDHHC6	2.381874019234790000e-04
GRAMD1B	-1.561288171953040000e-04
RNH1	-8.160529123038790000e-04
NDUFS1	-7.572178351461630000e-04
RB1CC1	3.885131888594940000e-04
ERP44	-5.076069641030730000e-04
ALAS1	2.22755748676052e-05
AKAP11	5.17331919659253e-05
GLRX2	1.853572141762450000e-04
SNAPC1	5.84046927457957e-05
DERA	-7.223611829441060000e-04
STRAP	1.59019747498790000e-04
DEF6	9.535565069650320000e-04
PLEKHO1	-5.364408547575820000e-04
GCLM	8.208745930440540000e-04
UBR2	2.551376856145890000e-04
EHD2	-9.504806990828250000e-04
DEPDC1	4.473827557920420000e-04
CCDC28A	4.953934653737890000e-04
RRAGD	1.730970584579000e-03
HSF2	-2.90101804869670000e-04
PHF20	4.197119876506020000e-04
HSD17B6	1.39314423002055000e-03
NR1H3	4.216369959981150000e-04
TYMP	-2.42323957118886000e-03
NCAPH2	2.458721733915810000e-04
TOMM34	2.625728412448130000e-04
SEC63	1.608019467108250000e-04
KPNA6	5.447776107230950000e-04
VIM	-2.76780380148061000e-03
FAS	1.49135439751733000e-03
RNASET2	1.375118329893690000e-04
CD44	-8.500977607778460000e-04
KCNG1	-1.64050999553967000e-03
AGPAT4	-1.01792953795116000e-03
BTN3A1	7.945591597834840000e-04
MIPEP	8.474956827160820000e-04
PRKCH	-1.086124852780000e-04
IFNGR1	-1.183814020381470000e-04
B4GALT7	-3.159898773111120000e-04
SH2D2A	1.66437704868722000e-03
VRK2	3.23981306846980000e-04
VEZT	-4.320668249237090000e-04
POU2F2	1.16296897635823000e-03
BRD9	1.104887846057570000e-04
SNX1	-1.747030609167910000e-04
TBPL1	7.266815247862610000e-04
ARNTL2	9.977400430396260000e-04
BCLAF1	3.982456043130170000e-04
SLC39A9	-3.72769263814760000e-04
ANK1	1.95878730770589000e-03
TFB1M	9.658306523707410000e-04
RABEP1	1.345853497309580000e-04
HMGB3	8.418442490365510000e-04
NUP160	1.04229554740775000e-03
BAK1	4.094102059397050000e-04
IKZF2	-2.901478013034630000e-04
GRN	-6.434145011851420000e-04
FAM13B	-1.16075325700390000e-04
ARHGAP31	-7.930470454090660000e-04
CENPQ	8.41622099589820000e-04
SARS	-2.071905736546010000e-04
RANBP3	2.129051848719990000e-04
ARID4A	-2.472513664196190000e-04
EIPR1	1.795101407832870000e-04
PNPLA6	4.144041776307060000e-04
IFT88	-6.408864700892550000e-04
ALG1	9.727309959082870000e-04
ZCCHC8	2.979073121532540000e-04
ABCF2	5.3817645477030000e-04
CHPF2	-9.995360580350710000e-04
FUT8	-7.209331521770090000e-04
UBA6	-1.272335359012040000e-04
GAB2	-1.5869579876343000e-03
ATP6V0A1	-1.782432483930330000e-04
PIAS1	-3.461153784288820000e-04
SLC4A7	3.428415582831720000e-04
APBA2	-2.593217733454360000e-04
MAP2K3	-7.15836591262445e-05
EFCAB1	-2.89615020653826000e-03
TMSB10	-1.84601343616771000e-03
ASTE1	3.356362850615720000e-04
RNF19A	-1.72715457397134000e-03
PEX3	2.885955603919290000e-04
GABARAPL2	-7.154380008705370000e-04
SH3YL1	3.54301004691285e-05
FAM136A	9.532693498319090000e-04
VCL	3.531416833531590000e-04
DEPDC1B	1.43841436414055000e-03
DAPK2	1.545662829407110000e-04
NSMAF	1.443524949534070000e-04
ADSS	8.764824841810160000e-04
TIMP2	-7.881406267809050000e-04
RFC1	5.103211169209280000e-04
TBC1D23	5.76056751452966e-05
CUL3	1.018976270445140000e-04
MYOM2	-9.482552017340830000e-04
USP2	-7.38401390416479e-05
TUBG2	-3.255759940062710000e-04
RPL26L1	1.07333983750948e-06
FLT4	9.581469386024420000e-04
NSUN2	7.160149943346130000e-04
FBXO42	2.16859055078901e-05
MFAP3	-2.405043377184080000e-04
MRI1	-4.160308571932140000e-04
METTL1	9.756356112909890000e-04
HOXC8	-4.09429067786821000e-03
AGA	-1.46500433730495e-05
PI4K2B	1.867324650937850000e-04
BOD1L1	7.82766095135552e-05
MAT2B	3.642907312986920000e-04
EDC4	-1.20974302404470000e-04
TRIO	-5.057427081590320000e-04
VCAN	1.020943409326820000e-04
CLEC16A	-6.411481740687050000e-04
CDH1	1.63725204296613000e-03
MTREX	6.559873685222560000e-04
ZFYVE16	-9.486490800389750000e-04
RIPOR1	-2.64784059953826000e-03
RAI14	-3.42513204998085e-06
PNKP	4.142634692450790000e-04
PHLPP2	7.583030949788910000e-04
SPDL1	2.796130968822190000e-04
STAU2	1.08232119534821e-05
PQLC2	-1.364655999908170000e-04
CTNS	1.469687943317460000e-04
RTN4R	7.720364689252920000e-04
PHF23	1.53708027286230000e-04
INPP4A	-6.32258406245927e-05
PSMA4	4.781482361693820000e-04
LSG1	7.828088227942360000e-04
PARP3	-1.21356509369704000e-03
TNC	-4.31925232139048000e-03
THAP3	-3.096723554669480000e-04
RIPOR3	9.305687811015770000e-04
TDP1	7.920434061011760000e-04
AIFM2	4.842874308939290000e-04
SPATA7	-5.985803165816690000e-04
MED17	-2.393053821474640000e-04
RETSAT	-8.53029419123338e-05
CAPG	-1.461805903085720000e-04
AP2S1	-6.86953428353501e-05
